website_name,city_pt,country_pt,city_en,country_en,city_es,country_es,city_loc,country_loc,city_loc2,country_loc2,flag,lula_votos_2o,lula_pct_2o,bolsonaro_votos_2o,bolsonaro_pct_2o,votos_validos,votos_total,anulados,anulados_sub_judice,nulos,nulos_pct,em_branco,em_branco_pct,anulados_e_apurados,anulados_e_apurados_pct,concorrentes_pct
Abidjã,Abidjã,Costa do Marfim,Abidjan,Côte d'Ivoire,Abiyán,Costa de Marfil,Abidjan,Côte d'Ivoire,,,🇨🇮,26,63.41,15,36.59,41,43,0,0,0,0.00,2,4.65,0,0.00,36.59
Abu Dhabi,Abu Dhabi,Emirados Arabes Unidos,Abu Dhabi,United Arab Emirates,Abu Dabi,Emiratos Árabes Unidos,أبو ظبي,الإمارات العربية المتحدة,,,🇦🇪,404,40.52,593,59.48,997,1050,0,0,27,2.57,26,2.48,0,0.00,59.48
Abuja,Abuja,Nigéria,Abuja,Nigeria,Abuya,Nigeria,Abuja,Nigeria,Abuja,Najeriya,🇳🇬,0,0.00,0,0.00,0,0,0,0,0,0.00,0,0.00,0,0.00,0.00
Accra,Acra,Gana,Accra,Ghana,Acra,Ghana,Accra,Ghana,,,🇬🇭,14,77.78,4,22.22,18,18,0,0,0,0.00,0,0.00,0,0.00,22.22
Adis Abeba,Adis Abeba,Etiópia,Addis Ababa,Ethiopia,Adís Abeba,Etiopía,አዲስ አበባ,ኢትዮጵያ,,,🇪🇹,0,0.00,0,0.00,0,0,0,0,0,0.00,0,0.00,0,0.00,0.00
Amsterdã,Amsterdã,Holanda,Amsterdam,Netherlands,Ámsterdam,Holanda,Amsterdam,Nederland,,,🇳🇱,4511,78.41,1242,21.59,5753,5951,0,0,118,1.98,80,1.35,0,0.00,21.59
Amã,Amã,Jordânia,Amman,Jordan,Amán,Jordania,عَمَّان,الأردن,,,🇯🇴,407,76.50,125,23.50,532,586,0,0,21,3.58,33,5.64,0,0.00,23.50
Ancara,Ancara,Turquia,Ankara,Turkey,Ankara,Turquía,Ankara,Türkiye,,,🇹🇷,20,71.43,8,28.57,28,28,0,0,0,0.00,0,0.00,0,0.00,28.57
Argel,Argel,Argélia,Algiers,Algeria,Argel,Argelia,الجزائر,الجزائر,Alger,Algérie,🇩🇿,0,0.00,0,0.00,0,0,0,0,0,0.00,0,0.00,0,0.00,0.00
Artigas,Artigas,Uruguai,Artigas,Uruguay,Artigas,Uruguay,Artigas,Uruguay,,,🇺🇾,125,29.98,292,70.02,417,428,0,0,5,1.17,6,1.40,0,0.00,70.02
